"4807,Jimmy Carter,4-Dec-80,32,51,17,0,1,1,1,Import Controls on Peanuts,None Listed,"""",2,1,1,1,6,1,2,Agricultural Adjustment Act 1933,6,D,277,158,1,58,41,1,34.1100006103516,77.8000030517578,78.9000015258789,80.0999984741211,81,81.8000030517578,82.6999969482422,82.6999969482422,83.3000030517578,84,84.8000030517578,85.5,86.3000030517578,13.5,6.30000019073486,6.30000019073486,6.30000019073486,6.90000009536743,7.5,7.59999990463257,7.80000019073486,7.69999980926514,7.5,7.5,7.5,7.2,7.19999980926514,""2,725.30"",""2,729.30"",""2,786.60"",""2,916.90"",""2,789.50"",2563.30004882813,226.199996948242,""2,732.00"",225.699996948242,245.300003051758,-19.6000003814697,N/A,1,1,0,1,0,0,1,0,0,1,2.10999989509583,1,2.11000061035156,1,1";
"4808,Jimmy Carter,11-Dec-80,32,51,17,0,1,1,1,Tariff Concessions on Live Cattle Imports,Canada,"""",1,2,1,2,5,1,2,Trade Act 1974,6,D,277,158,1,58,41,1,34.1100006103516,77.8000030517578,78.9000015258789,80.0999984741211,81,81.8000030517578,82.6999969482422,82.6999969482422,83.3000030517578,84,84.8000030517578,85.5,86.3000030517578,13.5,6.30000019073486,6.30000019073486,6.30000019073486,6.90000009536743,7.5,7.59999990463257,7.80000019073486,7.69999980926514,7.5,7.5,7.5,7.2,7.19999980926514,""2,725.30"",""2,729.30"",""2,786.60"",""2,916.90"",""2,789.50"",2563.30004882813,226.199996948242,""2,732.00"",225.699996948242,245.300003051758,-19.6000003814697,N/A,0,0,1,1,0,0,1,0,0,0,2.10999989509583,1,2.11000061035156,1,1";
"4809,Jimmy Carter,17-Dec-80,32,51,17,0,1,1,1,Modification of Tariff Schedules,None Listed,"""",2,1,1,2,2,1,2,Trade Act of 1974 & Trade Adjustments Act of 1979,17,D,277,158,1,58,41,1,34.1100006103516,77.8000030517578,78.9000015258789,80.0999984741211,81,81.8000030517578,82.6999969482422,82.6999969482422,83.3000030517578,84,84.8000030517578,85.5,86.3000030517578,13.5,6.30000019073486,6.30000019073486,6.30000019073486,6.90000009536743,7.5,7.59999990463257,7.80000019073486,7.69999980926514,7.5,7.5,7.5,7.2,7.19999980926514,""2,725.30"",""2,729.30"",""2,786.60"",""2,916.90"",""2,789.50"",2563.30004882813,226.199996948242,""2,732.00"",225.699996948242,245.300003051758,-19.6000003814697,N/A,0,1,1,0,0,0,1,0,0,0,2.10999989509583,1,2.11000061035156,1,1";
"4811,Jimmy Carter,30-Dec-80,32,51,17,0,1,1,1,Cheese Imports,None Listed,"""",2,1,1,2,6,1,2,""Agricultural Adjustment Act 1933, Trade Agreements Act 1979"",17,D,277,158,1,58,41,1,34.1100006103516,77.8000030517578,78.9000015258789,80.0999984741211,81,81.8000030517578,82.6999969482422,82.6999969482422,83.3000030517578,84,84.8000030517578,85.5,86.3000030517578,13.5,6.30000019073486,6.30000019073486,6.30000019073486,6.90000009536743,7.5,7.59999990463257,7.80000019073486,7.69999980926514,7.5,7.5,7.5,7.2,7.19999980926514,""2,725.30"",""2,729.30"",""2,786.60"",""2,916.90"",""2,789.50"",2563.30004882813,226.199996948242,""2,732.00"",225.699996948242,245.300003051758,-19.6000003814697,N/A,0,1,1,0,0,0,1,0,0,1,2.10999989509583,1,2.11000061035156,1,1";
"4812,Jimmy Carter,31-Dec-80,32,51,17,0,1,1,1,Temporary Tariff Concessions,India,"""",1,1,1,2,5,1,2,Trade Act 1974,17,D,277,158,1,58,41,1,34.1100006103516,77.8000030517578,78.9000015258789,80.0999984741211,81,81.8000030517578,82.6999969482422,82.6999969482422,83.3000030517578,84,84.8000030517578,85.5,86.3000030517578,13.5,6.30000019073486,6.30000019073486,6.30000019073486,6.90000009536743,7.5,7.59999990463257,7.80000019073486,7.69999980926514,7.5,7.5,7.5,7.2,7.19999980926514,""2,725.30"",""2,729.30"",""2,786.60"",""2,916.90"",""2,789.50"",2563.30004882813,226.199996948242,""2,732.00"",225.699996948242,245.300003051758,-19.6000003814697,N/A,0,1,1,0,0,0,1,0,0,0,2.10999989509583,1,2.11000061035156,1,1";
"4817,Jimmy Carter,16-Jan-81,32,51,17,0,1,0,0,Imports of Lead Products,Mexico,"""",1,2,1,1,5,1,2,Trade Act 1974,7,D,242,192,1,58,41,1,50.8899993896484,87,87.9000015258789,88.5,89.0999984741211,89.8000030517578,90.5999984741211,91.5999984741211,92.3000030517578,93.1999969482422,93.4000015258789,93.6999969482422,94,10.3000001907349,7.5,7.40000009536743,7.40000009536743,7.19999980926514,7.5,7.5,7.19999980926514,7.40000009536743,7.59999990463257,7.90000009536743,8.30000019073486,8.5,7.59999990463257,""3,052.70"",""3,085.90"",""3,178.70"",""3,196.40"",""3,128.40"",2789.5,338.899993896484,""3,052.60"",238.699996948242,261,-22.2999992370605,N/A,1,0,0,0,1,0,1,0,0,0,18.8899993896484,1,18.8899993896484,1,1";
"4835,Ronald Reagan,14-Apr-81,38,40,22,0,0,0,0,Import Quota on Peanuts,None Listed,"""",2,1,1,2,6,1,2,Agricultural Adjustment Act 1933,6,R,242,192,0,46,53,1,66.9800033569336,87,87.9000015258789,88.5,89.0999984741211,89.8000030517578,90.5999984741211,91.5999984741211,92.3000030517578,93.1999969482422,93.4000015258789,93.6999969482422,94,10.3000001907349,7.5,7.40000009536743,7.40000009536743,7.19999980926514,7.5,7.5,7.19999980926514,7.40000009536743,7.59999990463257,7.90000009536743,8.30000019073486,8.5,7.59999990463257,""3,052.70"",""3,085.90"",""3,178.70"",""3,196.40"",""3,128.40"",2789.5,338.899993896484,""3,052.60"",238.699996948242,261,-22.2999992370605,N/A,0,1,1,1,0,0,1,0,0,1,28.9799995422363,1,28.9800033569336,1,0";
"4876,Ronald Reagan,20-Oct-81,50,32,10,0,0,0,0,Suspension of the Application of Obligations Under an Agreement Between the Governments of the United States of America and Argentina Concerning Hide Exports and Other Trade Matters,Argentina,"""",1,2,3,1,5,1,2,Trade Act 1974,6,R,242,192,0,46,53,1,54.2799987792969,87,87.9000015258789,88.5,89.0999984741211,89.8000030517578,90.5999984741211,91.5999984741211,92.3000030517578,93.1999969482422,93.4000015258789,93.6999969482422,94,10.3000001907349,7.5,7.40000009536743,7.40000009536743,7.19999980926514,7.5,7.5,7.19999980926514,7.40000009536743,7.59999990463257,7.90000009536743,8.30000019073486,8.5,7.59999990463257,""3,052.70"",""3,085.90"",""3,178.70"",""3,196.40"",""3,128.40"",2789.5,338.899993896484,""3,052.60"",238.699996948242,261,-22.2999992370605,N/A,1,0,0,1,0,0,1,0,0,0,4.28000020980835,1,4.27999877929688,1,0";
"4884,Ronald Reagan,13-Nov-81,50,32,10,0,0,0,0,Continuation of Temporary Duty Increase on the Importation Into the United States of Certain High-Carbon Ferrochromium,None Listed,"""",2,1,1,1,6,1,2,Trade Act 1974,17,R,242,192,0,46,53,1,48.9900016784668,87,87.9000015258789,88.5,89.0999984741211,89.8000030517578,90.5999984741211,91.5999984741211,92.3000030517578,93.1999969482422,93.4000015258789,93.6999969482422,94,10.3000001907349,7.5,7.40000009536743,7.40000009536743,7.19999980926514,7.5,7.5,7.19999980926514,7.40000009536743,7.59999990463257,7.90000009536743,8.30000019073486,8.5,7.59999990463257,""3,052.70"",""3,085.90"",""3,178.70"",""3,196.40"",""3,128.40"",2789.5,338.899993896484,""3,052.60"",238.699996948242,261,-22.2999992370605,N/A,1,1,0,0,0,0,1,0,0,1,-1.00999999046326,1,-1.0099983215332,1,0";
"4887,Ronald Reagan,23-Dec-81,50,32,10,0,0,0,0,""Import Fees on Certain Sugars, Sirups and Molasses"",None Listed,"""",2,1,1,1,6,1,2,Trade Expansion Act 1962,12,R,242,192,0,46,53,1,48.5900001525879,87,87.9000015258789,88.5,89.0999984741211,89.8000030517578,90.5999984741211,91.5999984741211,92.3000030517578,93.1999969482422,93.4000015258789,93.6999969482422,94,10.3000001907349,7.5,7.40000009536743,7.40000009536743,7.19999980926514,7.5,7.5,7.19999980926514,7.40000009536743,7.59999990463257,7.90000009536743,8.30000019073486,8.5,7.59999990463257,""3,052.70"",""3,085.90"",""3,178.70"",""3,196.40"",""3,128.40"",2789.5,338.899993896484,""3,052.60"",238.699996948242,261,-22.2999992370605,N/A,1,1,0,0,0,0,1,0,0,1,-1.4099999666214,1,-1.40999984741211,1,0";
"4888,Ronald Reagan,23-Dec-81,50,32,10,0,0,0,0,""Modification of Tariffs on Certain Sugars, Sirups and Molasses"",None Listed,"""",2,1,1,1,6,1,2,Trade Expansion Act 1962,12,R,242,192,0,46,53,1,48.5900001525879,87,87.9000015258789,88.5,89.0999984741211,89.8000030517578,90.5999984741211,91.5999984741211,92.3000030517578,93.1999969482422,93.4000015258789,93.6999969482422,94,10.3000001907349,7.5,7.40000009536743,7.40000009536743,7.19999980926514,7.5,7.5,7.19999980926514,7.40000009536743,7.59999990463257,7.90000009536743,8.30000019073486,8.5,7.59999990463257,""3,052.70"",""3,085.90"",""3,178.70"",""3,196.40"",""3,128.40"",2789.5,338.899993896484,""3,052.60"",238.699996948242,261,-22.2999992370605,N/A,1,1,0,0,0,0,1,0,0,1,-1.4099999666214,1,-1.40999984741211,1,0";
"4889,Ronald Reagan,29-Dec-81,50,32,10,0,0,0,0,""Staged Reduction of Rates of Duty on Certain Products To Carry Out a Trade Agreement With Japan, and Technical Corrections in the Tariff Schedules of the United States"",Japan,"""",1,2,3,2,6,1,2,Trade Act 1974,13,R,242,192,0,46,53,1,49.2400016784668,87,87.9000015258789,88.5,89.0999984741211,89.8000030517578,90.5999984741211,91.5999984741211,92.3000030517578,93.1999969482422,93.4000015258789,93.6999969482422,94,10.3000001907349,7.5,7.40000009536743,7.40000009536743,7.19999980926514,7.5,7.5,7.19999980926514,7.40000009536743,7.59999990463257,7.90000009536743,8.30000019073486,8.5,7.59999990463257,""3,052.70"",""3,085.90"",""3,178.70"",""3,196.40"",""3,128.40"",2789.5,338.899993896484,""3,052.60"",238.699996948242,261,-22.2999992370605,N/A,0,0,1,0,0,0,1,0,0,1,-0.759999990463257,1,-0.759998321533203,1,0";
"4901,Ronald Reagan,22-Feb-82,50,32,10,0,0,0,1,Extension of Temporary Quantitative Limitation on the Importation Into the United States of Certain Clothespins,None Listed,"""",2,1,1,1,6,1,2,""Trade Act 1974, GATT"",17,R,242,192,0,46,53,1,46.6500015258789,94.3000030517578,94.5999984741211,94.5,94.9000015258789,95.8000030517578,97,97.5,97.6999969482422,97.9000015258789,98.1999969482422,98,97.5999984741211,6.19999980926514,8.60000038146973,8.89999961853027,9,9.30000019073486,9.39999961853027,9.60000038146973,9.80000019073486,9.80000019073486,10.1000003814697,10.3999996185303,10.8000001907349,10.8,9.69999980926514,""3,186.80"",""3,242.70"",""3,276.20"",""3,314.40"",""3,255.00"",3128.39990234375,126.599998474121,""3,166.00"",216.399993896484,244,-27.6000003814697,N/A,1,1,0,0,0,0,1,0,0,1,-3.34999990463257,1,-3.34999847412109,1,0";
"4904,Ronald Reagan,27-Feb-82,50,32,10,0,0,0,1,Termination of Increased Rates of Duty on Certain Mushrooms and Technical Corrections in the Tariff Schedules of the United States,None Listed,"""",2,1,1,2,6,1,2,""Trade Act 1974, Agricultural Adjustment Act 1933, GATT"",6,R,242,192,0,46,53,1,46.3199996948242,94.3000030517578,94.5999984741211,94.5,94.9000015258789,95.8000030517578,97,97.5,97.6999969482422,97.9000015258789,98.1999969482422,98,97.5999984741211,6.19999980926514,8.60000038146973,8.89999961853027,9,9.30000019073486,9.39999961853027,9.60000038146973,9.80000019073486,9.80000019073486,10.1000003814697,10.3999996185303,10.8000001907349,10.8,9.69999980926514,""3,186.80"",""3,242.70"",""3,276.20"",""3,314.40"",""3,255.00"",3128.39990234375,126.599998474121,""3,166.00"",216.399993896484,244,-27.6000003814697,N/A,0,1,1,1,0,0,1,0,0,1,-3.6800000667572,1,-3.68000030517578,1,0";
"4907,Ronald Reagan,10-Mar-82,50,32,10,0,0,0,1,Imports of Petroleum,Libya,"""",1,1,1,1,2,1,2,Trade Expansion Act of 1962,2,R,242,192,0,46,53,1,46.3199996948242,94.3000030517578,94.5999984741211,94.5,94.9000015258789,95.8000030517578,97,97.5,97.6999969482422,97.9000015258789,98.1999969482422,98,97.5999984741211,6.19999980926514,8.60000038146973,8.89999961853027,9,9.30000019073486,9.39999961853027,9.60000038146973,9.80000019073486,9.80000019073486,10.1000003814697,10.3999996185303,10.8000001907349,10.8,9.69999980926514,""3,186.80"",""3,242.70"",""3,276.20"",""3,314.40"",""3,255.00"",3128.39990234375,126.599998474121,""3,166.00"",216.399993896484,244,-27.6000003814697,N/A,1,1,0,0,0,0,1,1,0,0,-3.6800000667572,1,-3.68000030517578,1,0";
"4940,Ronald Reagan,5-May-82,50,32,10,0,0,0,1,""Import Fees on Certain Sugars, Sirups and Molasses"",None Listed,"""",2,1,1,1,6,1,2,""Agricultural Adjustment Act 1933, and Title 3, Section 301 USC"",12,R,242,192,0,46,53,1,44.4199981689453,94.3000030517578,94.5999984741211,94.5,94.9000015258789,95.8000030517578,97,97.5,97.6999969482422,97.9000015258789,98.1999969482422,98,97.5999984741211,6.19999980926514,8.60000038146973,8.89999961853027,9,9.30000019073486,9.39999961853027,9.60000038146973,9.80000019073486,9.80000019073486,10.1000003814697,10.3999996185303,10.8000001907349,10.8,9.69999980926514,""3,186.80"",""3,242.70"",""3,276.20"",""3,314.40"",""3,255.00"",3128.39990234375,126.599998474121,""3,166.00"",216.399993896484,244,-27.6000003814697,N/A,1,1,0,0,0,0,1,0,0,1,-5.57999992370606,1,-5.58000183105469,1,0";
"4941,Ronald Reagan,5-May-82,50,32,10,0,0,0,1,""Modification of Quotas on Certain Sugars, Sirups and Molasses"",Too many to list,"""",3,1,1,1,6,1,2,""Trade Expansion Act 1962, Title 3 Section 301 USC, and International Sugar Agreement 1977 Implementation Act"",12,R,242,192,0,46,53,1,44.4199981689453,94.3000030517578,94.5999984741211,94.5,94.9000015258789,95.8000030517578,97,97.5,97.6999969482422,97.9000015258789,98.1999969482422,98,97.5999984741211,6.19999980926514,8.60000038146973,8.89999961853027,9,9.30000019073486,9.39999961853027,9.60000038146973,9.80000019073486,9.80000019073486,10.1000003814697,10.3999996185303,10.8000001907349,10.8,9.69999980926514,""3,186.80"",""3,242.70"",""3,276.20"",""3,314.40"",""3,255.00"",3128.39990234375,126.599998474121,""3,166.00"",216.399993896484,244,-27.6000003814697,N/A,1,1,0,0,0,0,1,0,0,1,-5.57999992370606,1,-5.58000183105469,1,0";
"4980,Ronald Reagan,30-Sep-82,29,54,17,0,0,0,1,Staged Reduction of Rates of Duty on Certain Products To Carry Out a Trade Agreement,Listed in EO 12143,"""",1,2,3,2,6,1,2,Trade Act 1974,17,R,242,192,0,46,53,1,42.25,94.3000030517578,94.5999984741211,94.5,94.9000015258789,95.8000030517578,97,97.5,97.6999969482422,97.9000015258789,98.1999969482422,98,97.5999984741211,6.19999980926514,8.60000038146973,8.89999961853027,9,9.30000019073486,9.39999961853027,9.60000038146973,9.80000019073486,9.80000019073486,10.1000003814697,10.3999996185303,10.8000001907349,10.8,9.69999980926514,""3,186.80"",""3,242.70"",""3,276.20"",""3,314.40"",""3,255.00"",3128.39990234375,126.599998474121,""3,166.00"",216.399993896484,244,-27.6000003814697,N/A,0,0,1,0,0,0,1,0,0,1,13.25,1,13.25,1,0";
"4991,Ronald Reagan,27-Oct-82,33,50,17,0,0,0,1,Suspension of the Application of Column 1 Rates of Duty of the Tariff Schedules of the United States to the Products of Poland,Poland,"""",1,1,3,2,6,3,2,""Trade Expansion Act 1962, and Trade Act 1974"",17,R,242,192,0,46,53,1,42.6800003051758,94.3000030517578,94.5999984741211,94.5,94.9000015258789,95.8000030517578,97,97.5,97.6999969482422,97.9000015258789,98.1999969482422,98,97.5999984741211,6.19999980926514,8.60000038146973,8.89999961853027,9,9.30000019073486,9.39999961853027,9.60000038146973,9.80000019073486,9.80000019073486,10.1000003814697,10.3999996185303,10.8000001907349,10.8,9.69999980926514,""3,186.80"",""3,242.70"",""3,276.20"",""3,314.40"",""3,255.00"",3128.39990234375,126.599998474121,""3,166.00"",216.399993896484,244,-27.6000003814697,N/A,0,1,1,0,0,1,0,0,0,1,9.68000030517578,1,9.68000030517578,1,0";
"4993,Ronald Reagan,29-Oct-82,33,50,17,0,0,0,1,Termination in Part of the Proclamations Carrying Out the Agreement Between the Governments of the United States of America and Argentina Concerning Hide Exports and Other Trade Matters,Argentina,"""",1,2,3,1,6,3,2,Trade Act 1974,6,R,242,192,0,46,53,1,42.6800003051758,94.3000030517578,94.5999984741211,94.5,94.9000015258789,95.8000030517578,97,97.5,97.6999969482422,97.9000015258789,98.1999969482422,98,97.5999984741211,6.19999980926514,8.60000038146973,8.89999961853027,9,9.30000019073486,9.39999961853027,9.60000038146973,9.80000019073486,9.80000019073486,10.1000003814697,10.3999996185303,10.8000001907349,10.8,9.69999980926514,""3,186.80"",""3,242.70"",""3,276.20"",""3,314.40"",""3,255.00"",3128.39990234375,126.599998474121,""3,166.00"",216.399993896484,244,-27.6000003814697,N/A,1,0,0,1,0,1,0,0,0,1,9.68000030517578,1,9.68000030517578,1,0";
"4998,Ronald Reagan,10-Nov-82,33,43,24,0,0,0,1,Modification of the Tariff-Rate Quota on Brooms Wholly or in Part of Broom Corn,None Listed,"""",2,1,1,1,6,1,2,TSUS,17,R,242,192,0,46,53,1,42.6800003051758,94.3000030517578,94.5999984741211,94.5,94.9000015258789,95.8000030517578,97,97.5,97.6999969482422,97.9000015258789,98.1999969482422,98,97.5999984741211,6.19999980926514,8.60000038146973,8.89999961853027,9,9.30000019073486,9.39999961853027,9.60000038146973,9.80000019073486,9.80000019073486,10.1000003814697,10.3999996185303,10.8000001907349,10.8,9.69999980926514,""3,186.80"",""3,242.70"",""3,276.20"",""3,314.40"",""3,255.00"",3128.39990234375,126.599998474121,""3,166.00"",216.399993896484,244,-27.6000003814697,N/A,1,1,0,0,0,0,1,0,0,1,9.68000030517578,1,9.68000030517578,1,0";
"5002,Ronald Reagan,30-Nov-82,33,43,24,0,0,0,1,""Modification of Quotas on Certain Sugars, Sirups and Molasses"",None Listed,"""",2,1,1,1,6,1,2,""Trade Expansion Act 1962, Title 3 Section 301 USC, and International Sugar Agreement 1977 Implementation Act"",12,R,242,192,0,46,53,1,43.2900009155274,94.3000030517578,94.5999984741211,94.5,94.9000015258789,95.8000030517578,97,97.5,97.6999969482422,97.9000015258789,98.1999969482422,98,97.5999984741211,6.19999980926514,8.60000038146973,8.89999961853027,9,9.30000019073486,9.39999961853027,9.60000038146973,9.80000019073486,9.80000019073486,10.1000003814697,10.3999996185303,10.8000001907349,10.8,9.69999980926514,""3,186.80"",""3,242.70"",""3,276.20"",""3,314.40"",""3,255.00"",3128.39990234375,126.599998474121,""3,166.00"",216.399993896484,244,-27.6000003814697,N/A,1,1,0,0,0,0,1,0,0,1,10.289999961853,1,10.2900009155273,1,0";
"5021,Ronald Reagan,14-Feb-83,33,43,24,0,0,0,0,""Imports of Educational, Scientific, and Cultural Materials"",None Listed,"""",2,1,1,2,6,1,2,""Educational, Scientific, and Cultural Materials Importation Act 1982, and Trade Act 1974"",17,R,269,166,0,46,54,1,35.0900001525879,97.8000030517578,97.9000015258789,97.9000015258789,98.5999984741211,99.1999969482422,99.5,99.9000015258789,100.199996948242,100.699996948242,101,101.199996948242,101.300003051758,3.20000004768372,10.3999996185303,10.3999996185303,10.3000001907349,10.1999998092651,10.1000003814697,10.1000003814697,9.39999961853027,9.5,9.19999980926514,8.80000019073486,8.5,8.3,9.60000038146973,""3,382.90"",""3,484.10"",""3,589.30"",""3,690.40"",""3,536.70"",3255,281.700012207031,""3,401.60"",205.600006103516,258,-52.4000015258789,N/A,0,1,1,0,0,0,1,0,0,1,2.08999991416931,1,2.09000015258789,1,0";
"5030,Ronald Reagan,10-Mar-83,33,43,24,0,0,0,0,Exclusive Economic Zone of the United States of America,None Listed,"""",4,1,4,2,2,1,1,None Listed,17,R,269,166,0,46,54,1,40.8699989318848,97.8000030517578,97.9000015258789,97.9000015258789,98.5999984741211,99.1999969482422,99.5,99.9000015258789,100.199996948242,100.699996948242,101,101.199996948242,101.300003051758,3.20000004768372,10.3999996185303,10.3999996185303,10.3000001907349,10.1999998092651,10.1000003814697,10.1000003814697,9.39999961853027,9.5,9.19999980926514,8.80000019073486,8.5,8.3,9.60000038146973,""3,382.90"",""3,484.10"",""3,589.30"",""3,690.40"",""3,536.70"",3255,281.700012207031,""3,401.60"",205.600006103516,258,-52.4000015258789,N/A,0,1,1,0,0,0,1,0,0,0,7.86999988555908,1,7.86999893188477,1,0";
"5048,Ronald Reagan,14-Apr-83,33,43,24,0,0,0,0,Imports of Products From Poland,Poland,"""",1,1,1,2,5,1,2,""Trade Expansion Act 1962, Trade Act 1974"",17,R,269,166,0,46,54,1,40.5099983215332,97.8000030517578,97.9000015258789,97.9000015258789,98.5999984741211,99.1999969482422,99.5,99.9000015258789,100.199996948242,100.699996948242,101,101.199996948242,101.300003051758,3.20000004768372,10.3999996185303,10.3999996185303,10.3000001907349,10.1999998092651,10.1000003814697,10.1000003814697,9.39999961853027,9.5,9.19999980926514,8.80000019073486,8.5,8.3,9.60000038146973,""3,382.90"",""3,484.10"",""3,589.30"",""3,690.40"",""3,536.70"",3255,281.700012207031,""3,401.60"",205.600006103516,258,-52.4000015258789,N/A,0,1,1,0,0,0,1,0,0,0,7.51000022888184,1,7.5099983215332,1,0";
"5050,Ronald Reagan,15-Apr-83,33,43,24,0,0,0,0,Temporary Duty Increase and Tariff-Rate Quota on the Importation Into the United States of Certain Heavyweight Motorcycles,Japan,"""",1,1,1,1,4,4,2,Trade Act of 1974 & Gatt,10,R,269,166,0,46,54,1,40.5099983215332,97.8000030517578,97.9000015258789,97.9000015258789,98.5999984741211,99.1999969482422,99.5,99.9000015258789,100.199996948242,100.699996948242,101,101.199996948242,101.300003051758,3.20000004768372,10.3999996185303,10.3999996185303,10.3000001907349,10.1999998092651,10.1000003814697,10.1000003814697,9.39999961853027,9.5,9.19999980926514,8.80000019073486,8.5,8.3,9.60000038146973,""3,382.90"",""3,484.10"",""3,589.30"",""3,690.40"",""3,536.70"",3255,281.700012207031,""3,401.60"",205.600006103516,258,-52.4000015258789,N/A,1,1,0,0,0,1,0,0,0,0,7.51000022888184,1,7.5099983215332,1,0";
"5071,Ronald Reagan,28-Jun-83,33,43,24,0,0,0,0,""Import Quotas on Certain Sugars, Sirups, Blends, and Mixtures"",None Listed,"""",2,1,1,1,6,1,2,""Agricultural Adjustment Act 1933, Title 3 Section 301 USC"",12,R,269,166,0,46,54,1,46.9900016784668,97.8000030517578,97.9000015258789,97.9000015258789,98.5999984741211,99.1999969482422,99.5,99.9000015258789,100.199996948242,100.699996948242,101,101.199996948242,101.300003051758,3.20000004768372,10.3999996185303,10.3999996185303,10.3000001907349,10.1999998092651,10.1000003814697,10.1000003814697,9.39999961853027,9.5,9.19999980926514,8.80000019073486,8.5,8.3,9.60000038146973,""3,382.90"",""3,484.10"",""3,589.30"",""3,690.40"",""3,536.70"",3255,281.700012207031,""3,401.60"",205.600006103516,258,-52.4000015258789,N/A,1,1,0,0,0,0,1,0,0,1,13.9899997711182,1,13.9900016784668,1,0";
"5074,Ronald Reagan,19-Jul-83,54,37,9,0,0,0,0,Temporary Duty Increases and Quantitative Limitations on the Importation Into the United States of Certain Stainless Steel and Alloy Tool Steel,None Listed,"""",2,1,1,1,6,1,2,""Trade Act 1974, GATT"",7,R,269,166,0,46,54,1,42.2799987792969,97.8000030517578,97.9000015258789,97.9000015258789,98.5999984741211,99.1999969482422,99.5,99.9000015258789,100.199996948242,100.699996948242,101,101.199996948242,101.300003051758,3.20000004768372,10.3999996185303,10.3999996185303,10.3000001907349,10.1999998092651,10.1000003814697,10.1000003814697,9.39999961853027,9.5,9.19999980926514,8.80000019073486,8.5,8.3,9.60000038146973,""3,382.90"",""3,484.10"",""3,589.30"",""3,690.40"",""3,536.70"",3255,281.700012207031,""3,401.60"",205.600006103516,258,-52.4000015258789,N/A,1,1,0,0,1,0,1,0,0,1,-11.7200002670288,1,-11.7200012207031,1,0";
"5104,Ronald Reagan,23-Sep-83,54,37,9,0,0,0,0,""Modification of Country Allocations of Quotas on Certain Sugars, Sirups and Molasses"",""Nicaragua, Costa Rica, El Salvador, and Honduras"","""",3,1,1,1,6,1,2,""Trade Expansion Act 1962, Title 3 Section 301 USC, and International Sugar Agreement 1977 Implementation Act"",12,R,269,166,0,46,54,1,47.1300010681152,97.8000030517578,97.9000015258789,97.9000015258789,98.5999984741211,99.1999969482422,99.5,99.9000015258789,100.199996948242,100.699996948242,101,101.199996948242,101.300003051758,3.20000004768372,10.3999996185303,10.3999996185303,10.3000001907349,10.1999998092651,10.1000003814697,10.1000003814697,9.39999961853027,9.5,9.19999980926514,8.80000019073486,8.5,8.3,9.60000038146973,""3,382.90"",""3,484.10"",""3,589.30"",""3,690.40"",""3,536.70"",3255,281.700012207031,""3,401.60"",205.600006103516,258,-52.4000015258789,N/A,1,1,0,0,0,0,1,0,0,1,-6.86999988555908,1,-6.86999893188477,1,0";
"5133,Ronald Reagan,30-Nov-83,54,37,9,0,0,0,0,Implementation of the Caribbean Basin Economic Recovery Act,Countries listed in headnote 3(g)(i) of the TSUS,"""",3,1,1,2,6,1,2,""Trade Act 1974, and the Caribbean Basin Economic Recovery Act"",17,R,269,166,0,46,54,1,52.7200012207031,97.8000030517578,97.9000015258789,97.9000015258789,98.5999984741211,99.1999969482422,99.5,99.9000015258789,100.199996948242,100.699996948242,101,101.199996948242,101.300003051758,3.20000004768372,10.3999996185303,10.3999996185303,10.3000001907349,10.1999998092651,10.1000003814697,10.1000003814697,9.39999961853027,9.5,9.19999980926514,8.80000019073486,8.5,8.3,9.60000038146973,""3,382.90"",""3,484.10"",""3,589.30"",""3,690.40"",""3,536.70"",3255,281.700012207031,""3,401.60"",205.600006103516,258,-52.4000015258789,N/A,0,1,1,0,0,0,1,0,0,1,-1.27999997138977,1,-1.27999877929688,1,0";
"5140,Ronald Reagan,19-Dec-83,54,37,9,0,0,0,0,Proclamation of Trade Agreements With Japan and Spain Providing Compensatory Concessions,Japan and Spain,"""",3,2,3,2,6,1,2,Trade Act 1974,17,R,269,166,0,46,54,1,53.5699996948242,97.8000030517578,97.9000015258789,97.9000015258789,98.5999984741211,99.1999969482422,99.5,99.9000015258789,100.199996948242,100.699996948242,101,101.199996948242,101.300003051758,3.20000004768372,10.3999996185303,10.3999996185303,10.3000001907349,10.1999998092651,10.1000003814697,10.1000003814697,9.39999961853027,9.5,9.19999980926514,8.80000019073486,8.5,8.3,9.60000038146973,""3,382.90"",""3,484.10"",""3,589.30"",""3,690.40"",""3,536.70"",3255,281.700012207031,""3,401.60"",205.600006103516,258,-52.4000015258789,N/A,0,0,1,0,0,0,1,0,0,1,-0.430000007152557,1,-0.430000305175781,1,0";
"5141,Ronald Reagan,22-Dec-83,54,37,9,0,0,0,0,Imports of Petroleum and Petroleum Products,None Listed,"""",3,1,1,1,5,7,2,Trade Expansion Act 1962,2,R,269,166,0,46,54,1,53.5699996948242,97.8000030517578,97.9000015258789,97.9000015258789,98.5999984741211,99.1999969482422,99.5,99.9000015258789,100.199996948242,100.699996948242,101,101.199996948242,101.300003051758,3.20000004768372,10.3999996185303,10.3999996185303,10.3000001907349,10.1999998092651,10.1000003814697,10.1000003814697,9.39999961853027,9.5,9.19999980926514,8.80000019073486,8.5,8.3,9.60000038146973,""3,382.90"",""3,484.10"",""3,589.30"",""3,690.40"",""3,536.70"",3255,281.700012207031,""3,401.60"",205.600006103516,258,-52.4000015258789,N/A,1,1,0,0,0,0,0,1,0,0,-0.430000007152557,1,-0.430000305175781,1,0";
